enzyme,color,lat,lon,Environment group,repeat_count
Oxidoreductase (UOM43036.1),#FFFB00,-33.96,25.64,Marine host-associated⬡,1
Oxidoreductase (UOM43036.1),#FFFB00,-6.44,38.9,Marine sediment■,1
Oxidoreductase (UOM43036.1),#FFFB00,1.222353,103.848702,Marine host-associated⬡,1
Oxidoreductase (UOM43036.1),#FFFB00,4.84,100.63,Mangrove sediment✚,1
Oxidoreductase (UOM43036.1),#FFFB00,18.0,116.0,Marine sediment■,1
Oxidoreductase (UOM43036.1),#FFFB00,21.03,118.23,Deep seawater▼,2
Oxidoreductase (UOM43036.1),#FFFB00,22.568,114.439,Marine sediment■,1
Oxidoreductase (UOM43036.1),#FFFB00,22.59,114.552,Marine sediment■,1
Oxidoreductase (UOM43036.1),#FFFB00,23.7,121.0,Marine host-associated⬡,1
Oxidoreductase (UOM43036.1),#FFFB00,24.55,-81.78,Plastisphere / marine biofilm✕,3
Oxidoreductase (UOM43036.1),#FFFB00,79.8,1.76,Marine sediment■,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-62.209722,-58.945,Intertidal sediment / beach sand▲,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-35.3413,79.9641,Plastisphere / marine biofilm✕,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-34.0614,-73.1066,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-33.55,39.89,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-27.98,63.25,Surface seawater●,2
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-27.74,-117.62,Deep seawater▼,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-27.6,-48.55,Marine host-associated⬡,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-23.463658,-70.504668,Plastisphere / marine biofilm✕,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-22.74,-41.88,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-22.58,-42.02,Marine host-associated⬡,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-22.2887,-42.5341,Marine host-associated⬡,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-20.4075,-3.1641,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-18.5446,146.4881,Marine host-associated⬡,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-16.21,-76.63,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-14.51,-76.2,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-14.509,-76.201,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-13.003,-80.809,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-11.499,-81.405,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-11.499,-81.401,Deep seawater▼,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-8.9111,-142.5571,Polar sea ice / cryosphere◆,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-8.9109,-140.2845,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-8.1005,156.8451,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-8.0045,53.2943,Marine host-associated⬡,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,-6.1,153.0,Deep-sea / chemosynthetic sediment⬟,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,2.631577,-78.041853,Marine host-associated⬡,2
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,3.0,142.5,Marine sediment■,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,3.873662,-77.290647,Marine host-associated⬡,4
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,5.0,130.0,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,7.46,-81.76,Marine host-associated⬡,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,10.504,75.398,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,10.847,-65.114,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,11.2,142.11,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,11.34,142.33,Deep seawater▼,2
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,11.34,142.33,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,11.4,142.4,Deep seawater▼,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,15.5109,73.8607,Mangrove sediment✚,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,15.513,73.8704,Surface seawater●,1
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,16.79,-88.07,Marine host-associated⬡,3
