enzyme,color,Protein accession number,Environment group,Exact sampling location,lat,lon
Oxidoreductase (UOM43036.1),#FFFB00,WP_421545704.1,Marine host-associated⬡,Singapore: St John's Island wharf,1.222353,103.848702
Oxidoreductase (UOM43036.1),#FFFB00,WP_475237385.1,Plastisphere / marine biofilm✕,"USA: Atlantic ocean at Key West, Florida",24.55,-81.78
Oxidoreductase (UOM43036.1),#FFFB00,WP_052191922.1,Deep seawater▼,Pacific Ocean: South China Sea,21.03,118.23
Oxidoreductase (UOM43036.1),#FFFB00,WP_033578324.1,Deep seawater▼,Pacific Ocean: South China Sea,21.03,118.23
Oxidoreductase (UOM43036.1),#FFFB00,WP_264134298.1,Marine sediment■,Tanzania: Bagamoyo,-6.44,38.9
Oxidoreductase (UOM43036.1),#FFFB00,WP_242805859.1,Mangrove sediment✚,Malaysia: Matang Mangrove Perak,4.84,100.63
Oxidoreductase (UOM43036.1),#FFFB00,WP_222462542.1,Marine sediment■,China:Shenzhen,22.59,114.552
Oxidoreductase (UOM43036.1),#FFFB00,WP_226537327.1,Marine sediment■,China:Shenzhen,22.568,114.439
Oxidoreductase (UOM43036.1),#FFFB00,WP_060751247.1,Marine host-associated⬡,"South Africa: Port Elizabeth, Algoa Bay, Indian Ocean",-33.96,25.64
Oxidoreductase (UOM43036.1),#FFFB00,WP_309558911.1,Marine sediment■,Arctic Ocean,79.8,1.76
Oxidoreductase (UOM43036.1),#FFFB00,WP_474847631.1,Plastisphere / marine biofilm✕,"USA: Atlantic ocean at Key West, Florida",24.55,-81.78
Oxidoreductase (UOM43036.1),#FFFB00,WP_270180266.1,Marine host-associated⬡,Taiwan,23.7,121.0
Oxidoreductase (UOM43036.1),#FFFB00,WP_474833637.1,Plastisphere / marine biofilm✕,"USA: Atlantic ocean at Key West, Florida",24.55,-81.78
Oxidoreductase (UOM43036.1),#FFFB00,WP_349409165.1,Marine sediment■,China:South China Sea,18.0,116.0
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_011624024.1,Surface seawater●,Black Sea,43.0,34.0
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_495141453.1,Marine host-associated⬡,Brazil: Florianopolis,-27.6,-48.55
