enzyme,color,Protein accession number,Environment group,Exact sampling location
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_349560949.1,Surface seawater●,Portugal
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_217702824.1,Surface seawater●,"USA: GA, Athens"
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_119853069.1,Surface seawater●,Not reported
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_337117224.1,Marine host-associated⬡,GCF_037162385.1: Baltic Sea | GCF_037162425.1: Baltic Sea
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_483432081.1,Surface seawater●,depth: 5
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_483313308.1,Surface seawater●,depth: 800
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_484580970.1,Surface seawater●,"USA: Isle of Palms, South Carolina"
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_297330116.1,Marine host-associated⬡,Peru: Oxygen minimum zone | depth: 301m
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_206004052.1,Marine host-associated⬡,"Viet Nam: Hon Tre, Nha Trang Bay"
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_058584693.1,Surface seawater●,"Saudi Arabia: Erba deep brine-seawater interface, Red Sea | depth: 2000 m."
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_055197275.1,Marine host-associated⬡,USA: Woods Hole
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_055021419.1,Marine host-associated⬡,USA: Woods Hole
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_065978975.1,Marine host-associated⬡,South Korea: Geomun-do
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_435559480.1,Marine sediment■,GCF_051235485.1: China | GCF_054031255.1: China
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_179025361.1,Marine host-associated⬡,Australia: Jervis Bay
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_315947146.1,Surface seawater●,South Korea
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_144035305.1,Marine sediment■,South Korea: Jeju
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_227718221.1,Marine host-associated⬡,China
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_318954214.1,Marine host-associated⬡,"Micronesia, Federated States of: Federated State of Micronesia, ) in the Pacific Ocean"
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_495483543.1,Surface seawater●,"USA: St. Augustine, Florida"
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_069947361.1,Mangrove sediment✚,"Malaysia: Matang Mangrove, Perak"
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_416306217.1,Plastisphere / marine biofilm✕,China
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_067085875.1,Surface seawater●,"GCF_001507605.1: Saudi Arabia: Red Sea | depth: 2000 m under the water | GCF_001641755.2: China:Yellow Sea, Qingdao"
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_101674902.1,Deep-sea / chemosynthetic sediment⬟,Indian Ocean
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_485163824.1,Surface seawater●,depth: 5
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_416391079.1,Surface seawater●,Pacific Ocean
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_228233368.1,Surface seawater●,China:Wuhan | China: Wuhan
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_502013871.1,Surface seawater●,Singapore: Pulau Hantu
Poly(3-hydroxybutyrate) depolymerase (LC127088.1),#009E3F,WP_485164795.1,Surface seawater●,depth: 5
