Protein accession number,Latitude,Longitude,Exact sampling location,Coordinate evidence,Source URL
WP_328185892.1,-21.52,-39.49,Brazil:Campos basin; depth 1200m; 21.520 S 39.490 W,BioSample SAMN37497672 lat_lon field: 21.520 S 39.490 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN37497672
WP_417547160.1,36.04,120.26,China: Qingdao; depth 1; 36.04 N 120.26 E,BioSample SAMN46274041 lat_lon field: 36.04 N 120.26 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN46274041
WP_248232622.1,Not reported,Not reported,Japan: Peter the Great Bay,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN26317814
WP_339802429.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA115300810
WP_335616960.1,78.39,42.11,Arctic Ocean: The Barents Sea; 78.39 N 42.11 E,BioSample SAMN39466476 lat_lon field: 78.39 N 42.11 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN39466476
WP_223655416.1,Not reported,Not reported,China: the South China Sea,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN18869291
WP_476402585.1,Not reported,Not reported,Atlantic Ocean,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120733396
WP_335610197.1,78.2,42.1,Arctic Ocean: The Barents Sea; 78.20 N 42.10 E,BioSample SAMN39466494 lat_lon field: 78.20 N 42.10 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN39466494
WP_415055749.1,87.4122,93.2151,Arctic Ocean; 87.4122 N 93.2151 E,BioSample SAMN44755693 lat_lon field: 87.4122 N 93.2151 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN44755693
WP_335616959.1,78.39,42.11,Arctic Ocean: The Barents Sea; 78.39 N 42.11 E,BioSample SAMN39466476 lat_lon field: 78.39 N 42.11 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN39466476
WP_169407362.1,Not reported,Not reported,China: Nanhai,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN14604097
WP_150299537.1,78.39,42.11,Canada: Logy Bay | Arctic Ocean: The Barents Sea; 78.39 N 42.11 E | China,BioSample SAMN39466511 lat_lon field: 78.39 N 42.11 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN13971079 | https://www.ncbi.nlm.nih.gov/biosample/SAMN39466511 | https://www.ncbi.nlm.nih.gov/biosample/SAMN12645869
WP_425221518.1,Not reported,Not reported,Pacific Ocean: Lau Basin,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN27359717
WP_328185870.1,-21.52,-39.49,Brazil:Campos basin; depth 1200m; 21.520 S 39.490 W,BioSample SAMN37497672 lat_lon field: 21.520 S 39.490 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN37497672
WP_169407363.1,Not reported,Not reported,China: Nanhai,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN14604097
WP_341708199.1,-27.329583,153.087083,Australia:Brisbane; depth 0; 27.329583 S 153.087083 E,BioSample SAMN37861311 lat_lon field: 27.329583 S 153.087083 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN37861311
WP_353389325.1,34.365,133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea; depth 2.8; 34.365 N 133.217 E",BioSample SAMD00755699 latitude and longitude field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00755699/
WP_335610199.1,78.2,42.1,Arctic Ocean: The Barents Sea; 78.20 N 42.10 E,BioSample SAMN39466494 lat_lon field: 78.20 N 42.10 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN39466494
WP_483324069.1,-62.22,-58.91,"Antarctica: Ardley Cove, Fildes Peninsula, King George Island; depth 0 m; 62.22 S 58.91 W",BioSample SAMN57367353 lat_lon field: 62.22 S 58.91 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN57367353
WP_496961921.1,Not reported,Not reported,USA: Northeast,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN56333867
WP_483324068.1,-62.22,-58.91,"Antarctica: Ardley Cove, Fildes Peninsula, King George Island; depth 0 m; 62.22 S 58.91 W",BioSample SAMN57367353 lat_lon field: 62.22 S 58.91 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN57367353
WP_425056760.1,36.04,120.26,China: Qingdao; depth 1; 36.04 N 120.26 E,BioSample SAMN46274043 lat_lon field: 36.04 N 120.26 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN46274043
WP_432569504.1,19.31,109.34,China; depth 1m-1.5m; 19.31 N 109.34 E,BioSample SAMN48905112 lat_lon field: 19.31 N 109.34 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN48905112
WP_432569505.1,19.31,109.34,China; depth 1m-1.5m; 19.31 N 109.34 E,BioSample SAMN48905112 lat_lon field: 19.31 N 109.34 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN48905112
WP_335605360.1,69.03,57.37,Russia: The Pechora Sea; 69.03 N 57.37 E,BioSample SAMN39466435 lat_lon field: 69.03 N 57.37 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN39466435
WP_169406150.1,Not reported,Not reported,China: Nanhai,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN14604097
WP_223655417.1,Not reported,Not reported,China: the South China Sea,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN18869291
WP_483324067.1,-62.22,-58.91,"Antarctica: Ardley Cove, Fildes Peninsula, King George Island; depth 0 m; 62.22 S 58.91 W",BioSample SAMN57367353 lat_lon field: 62.22 S 58.91 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN57367353
WP_118131888.1,27.01 | 42.774797,-111.41 | -9.124189,"Pacific Ocean | Mexico: Gulf of California, Big Pagoda, Millenium Falcon; depth 1971; 27.01 N 111.41 W | Spain: Galicia, Carnota municipality; 42.774797 N 9.124189 W",BioSample SAMN39175701 lat_lon field: 27.01 N 111.41 W | BioSample SAMN03941568 lat_lon field: 42.774797 N 9.124189 W,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120728403 | https://www.ncbi.nlm.nih.gov/biosample/SAMN39175701 | https://www.ncbi.nlm.nih.gov/biosample/SAMN03941568
WP_339802426.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA115300810
WP_373184602.1,29.928,122.422,China: ZhouShan; 29.928 N 122.422 E,BioSample SAMN42102612 lat_lon field: 29.928 N 122.422 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN42102612
WP_487154109.1,34.365,133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea; depth 7.7; 34.365 N 133.217 E",BioSample SAMD01680988 lat_lon field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD01680988
WP_123888242.1,Not reported,Not reported,Antarctica: Ross Sea,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN10393854 | https://www.ncbi.nlm.nih.gov/biosample/SAMN10393855
WP_487155282.1,34.365,133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea; depth 7.7; 34.365 N 133.217 E",BioSample SAMD01680988 lat_lon field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD01680988
WP_339666415.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA115300589
WP_335610198.1,78.2,42.1,Arctic Ocean: The Barents Sea; 78.20 N 42.10 E,BioSample SAMN39466494 lat_lon field: 78.20 N 42.10 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN39466494
WP_487156170.1,34.365,133.217,"Japan:Hiroshima, Onomichi, Seto Inland Sea; depth 7.7; 34.365 N 133.217 E",BioSample SAMD01680988 lat_lon field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD01680988
WP_150300936.1,78.39,42.11,Canada: Logy Bay | Arctic Ocean: The Barents Sea; 78.39 N 42.11 E | China,BioSample SAMN39466511 lat_lon field: 78.39 N 42.11 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN13971079 | https://www.ncbi.nlm.nih.gov/biosample/SAMN39466511 | https://www.ncbi.nlm.nih.gov/biosample/SAMN12645869
WP_373185656.1,29.928,122.422,China: ZhouShan; 29.928 N 122.422 E,BioSample SAMN42102612 lat_lon field: 29.928 N 122.422 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN42102612
WP_464382426.1,35.1955708,139.6673981,Japan:Kanagawa; depth 0 m; 35.1955708 N 139.6673981 E,BioSample SAMD00898857 lat_lon field: 35.1955708 N 139.6673981 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00898857
WP_285677831.1,-22.74,-41.88,"Brazil: Buzios, Rio de Janeiro; 22.74 S 41.88 W",BioSample SAMN34405138 lat_lon field: 22.74 S 41.88 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN34405138
WP_338212404.1,Not reported,Not reported,"Japan:Kanagawa, Yokosuka, Sagami bay",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMD00638015
WP_335605499.1,69.03,57.37,Russia: The Pechora Sea; 69.03 N 57.37 E,BioSample SAMN39466435 lat_lon field: 69.03 N 57.37 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN39466435
WP_339843917.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA115300871
WP_339842536.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA115300871
WP_339843916.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA115300871
WP_085988667.1,Not reported,Not reported,China,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN37208347 | https://www.ncbi.nlm.nih.gov/biosample/SAMN02469788
WP_344804818.1,Not reported,Not reported,China,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMD00645599
WP_445617810.1,37.25,122.58,"China | China: Rongcheng District, Weihai City, Shandong Province; depth 0 meter; 37.25 N 122.58 E",BioSample SAMN54380030 lat_lon field: 37.25 N 122.58 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN51256628 | https://www.ncbi.nlm.nih.gov/biosample/SAMN54380030 | https://www.ncbi.nlm.nih.gov/biosample/SAMN51256836
WP_460225302.1,34.365 | 31.557,133.217 | 130.564,"Japan:Hiroshima, Onomichi, Seto Inland Sea; depth 2.8m; 34.365 N 133.217 E | Japan:Kagoshima, Kagoshima, Kagoshima Bay; depth 5.05m; 31.557 N 130.564 E | Japan:Hiroshima, Onomichi, Seto Inland Sea; depth 2.75m; 34.365 N 133.217 E",BioSample SAMD00787897 lat_lon field: 34.365 N 133.217 E | BioSample SAMD00787898 lat_lon field: 31.557 N 130.564 E | BioSample SAMD00787899 lat_lon field: 34.365 N 133.217 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00787897 | https://www.ncbi.nlm.nih.gov/biosample/SAMD00787898 | https://www.ncbi.nlm.nih.gov/biosample/SAMD00787899
WP_416398726.1,85.09,95.85,Arctic Ocean; depth 1m; 85.09 N 95.85 E,BioSample SAMN41015456 lat_lon field: 85.09 N 95.85 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN41015456
